"E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Co","N_Co","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Na","N_Na","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Am","N_Am","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Mix","N_Mix","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr","E_Sr","N_Sr"
"-22.6","23","-22.3","23","-22.5","37","-22.5","83","-22.4","48","-22.6","23","-22.3","67","-22.5","45","-22.5","33","-22.4","39","-22.6","7","-22.3","56","-22.5","22","-22.5","31","-22.4","51","-22.6","30","-22.3","66","-22.5","43","-22.5","41","-22.4","129","-22.6","19","-22.3","49","-22.5","28","-22.5","33","-22.4","106"
"-10.5","282","-10.2","408","-10.8","1092","-10.5","1265","-10.32","1781","-10.5","294","-10.2","851","-10.8","1412","-10.5","721","-10.32","1640","-10.5","233","-10.2","979","-10.8","821","-10.5","705","-10.32","1295","-10.5","368","-10.2","1252","-10.8","1291","-10.5","915","-10.32","2399","-10.5","403","-10.2","972","-10.8","895","-10.5","647","-10.32","1945"
"1.7","1186","1.9","1981","0.8","4792","1.6","5199","1.77","9020","1.7","1223","1.9","3612","0.8","6621","1.6","4004","1.77","8361","1.7","1652","1.9","4582","0.8","4952","1.6","5598","1.77","8681","1.7","1771","1.9","5140","0.8","5926","1.6","5057","1.77","10507","1.7","1359","1.9","3943","0.8","4508","1.6","3856","1.77","8615"
"13.8","822","14","1729","12.4","2571","13.7","3438","13.86","4206","13.8","820","14","1634","12.4","2441","13.7","3480","13.86","4083","13.8","1545","14","2899","12.4","4643","13.7","6310","13.86","7740","13.8","1315","14","2607","12.4","3736","13.7","5348","13.86","6465","13.8","946","14","1913","12.4","2931","13.7","4016","13.86","4809"
"25.9","916","26.1","1970","24","2765","25.8","3804","25.94","4779","25.9","944","26.1","1864","24","2721","25.8","3848","25.94","4667","25.9","1200","26.1","2449","24","3706","25.8","4987","25.94","6267","25.9","1508","26.1","2905","24","4155","25.8","5831","25.94","7148","25.9","1075","26.1","2174","24","3204","25.8","4468","25.94","5273"
"38","1082","38.2","2034","35.6","3106","37.9","4095","38.03","5153","38","1012","38.2","2006","35.6","3052","37.9","4200","38.03","5058","38","1755","38.2","3806","35.6","4477","37.9","6900","38.03","8521","38","1571","38.2","3149","35.6","4508","37.9","6362","38.03","7722","38","1131","38.2","2295","35.6","3423","37.9","4650","38.03","5722"
"50.1","1178","50.3","2343","47.2","3313","50","4604","50.11","5691","50.1","1138","50.3","2246","47.2","3284","50","4599","50.11","5595","50.1","3907","50.3","7834","47.2","9770","50","15630","50.11","19478","50.1","1870","50.3","3681","47.2","5106","50","7485","50.11","9050","50.1","1266","50.3","2574","47.2","3781","50","5277","50.11","6609"
"62.2","1456","62.4","3057","58.8","4313","62.1","6041","62.2","7480","62.2","1463","62.4","2928","58.8","4208","62.1","6110","62.2","7147","62.2","4579","62.4","9045","58.8","14315","62.1","18499","62.2","23112","62.2","2290","62.4","4578","58.8","6136","62.1","9103","62.2","11112","62.2","1676","62.4","3298","58.8","4603","62.1","6590","62.2","8188"
"74.3","1883","74.6","3865","70.5","5631","74.2","7697","74.28","9548","74.3","1783","74.6","3666","70.5","5632","74.2","7561","74.28","9310","74.3","2818","74.6","5612","70.5","9935","74.2","11280","74.28","13904","74.3","2613","74.6","5313","70.5","7388","74.2","10710","74.28","13100","74.3","1959","74.6","4071","70.5","5947","74.2","8414","74.28","10112"
"86.4","1887","86.7","3818","82.1","6014","86.3","7493","86.37","9469","86.4","1881","86.7","3665","82.1","5838","86.3","7611","86.37","9032","86.4","1928","86.7","3848","82.1","6545","86.3","7770","86.37","9658","86.4","2615","86.7","5141","82.1","7930","86.3","10447","86.37","12739","86.4","2011","86.7","4170","82.1","6700","86.3","8040","86.37","9884"
